"2022-05-07 15:09:04.175" - "TYPE_PROXIMITY" - "5.0"
"2022-05-07 15:09:04.615" - "MAGNETOMETER" - "-14.0625,8.25,-39.625"
"2022-05-07 15:09:04.619" - "ACCELEROMETER" - "0.0058380216,1.7372787,7.832219"
"2022-05-07 15:09:04.620" - "GYROSCOPE" - "0.004258603323251009,0.11817624419927597,-0.06600835174322128"
"2022-05-07 15:09:04.635" - "MAGNETOMETER" - "-13.75,8.0625,-39.625"
"2022-05-07 15:09:04.637" - "ACCELEROMETER" - "-0.14867802,1.5068837,7.220629"
"2022-05-07 15:09:04.639" - "GYROSCOPE" - "0.01171115878969431,0.17353808879852295,-0.05536184459924698"
"2022-05-07 15:09:04.640" - "LIGHT" - "26.0"
"2022-05-07 15:09:04.655" - "MAGNETOMETER" - "-13.75,8.0,-39.5625"
"2022-05-07 15:09:04.656" - "ACCELEROMETER" - "-0.066815466,1.583322,8.105334"
"2022-05-07 15:09:04.657" - "GYROSCOPE" - "0.070266954600811,0.20760691165924072,0.0010646508308127522"
"2022-05-07 15:09:04.675" - "MAGNETOMETER" - "-13.75,7.5625,-39.5625"
"2022-05-07 15:09:04.676" - "ACCELEROMETER" - "-0.49882904,1.898606,6.9031696"
"2022-05-07 15:09:04.677" - "GYROSCOPE" - "0.20547761023044586,-0.16182692348957062,-0.02342231757938862"
"2022-05-07 15:09:04.695" - "MAGNETOMETER" - "-14.0,7.6875,-39.5625"
"2022-05-07 15:09:04.696" - "ACCELEROMETER" - "0.012656708,1.7949541,7.4363365"
"2022-05-07 15:09:04.697" - "GYROSCOPE" - "-0.1085943877696991,-0.05323254317045212,-0.12137019634246826"
"2022-05-07 15:09:04.715" - "MAGNETOMETER" - "-13.9375,7.9375,-39.8125"
"2022-05-07 15:09:04.716" - "ACCELEROMETER" - "-0.15976413,1.8420029,7.3416195"
"2022-05-07 15:09:04.718" - "GYROSCOPE" - "-0.21931807696819305,0.042586032301187515,-0.0947539210319519"
"2022-05-07 15:09:04.735" - "MAGNETOMETER" - "-13.6875,8.0625,-39.8125"
"2022-05-07 15:09:04.736" - "ACCELEROMETER" - "0.18893892,1.5577252,7.442934"
"2022-05-07 15:09:04.736" - "GYROSCOPE" - "-0.27893853187561035,0.126693457365036,-0.09794788062572479"
"2022-05-07 15:09:04.756" - "MAGNETOMETER" - "-13.6875,8.125,-39.8125"
"2022-05-07 15:09:04.757" - "ACCELEROMETER" - "-0.36147466,1.6343625,7.358121"
"2022-05-07 15:09:04.757" - "GYROSCOPE" - "-0.2416757345199585,0.11391764134168625,-0.08836601674556732"
"2022-05-07 15:09:04.758" - "LIGHT" - "26.0"
"2022-05-07 15:09:04.775" - "MAGNETOMETER" - "-13.4375,8.0625,-39.6875"
"2022-05-07 15:09:04.783" - "ACCELEROMETER" - "-0.23147523,1.7217718,7.7615266"
"2022-05-07 15:09:04.784" - "GYROSCOPE" - "-0.2310292273759842,0.041521381586790085,-0.07133160531520844"
"2022-05-07 15:09:04.795" - "MAGNETOMETER" - "-13.1875,7.9375,-39.625"
"2022-05-07 15:09:04.796" - "ACCELEROMETER" - "-0.06515293,1.7893152,7.7449937"
"2022-05-07 15:09:04.797" - "GYROSCOPE" - "-0.24593433737754822,0.019163714721798897,-0.06707300245761871"
"2022-05-07 15:09:04.826" - "MAGNETOMETER" - "-13.125,7.8125,-39.5"
"2022-05-07 15:09:04.827" - "ACCELEROMETER" - "-0.03936451,1.7079122,7.7873926"
"2022-05-07 15:09:04.828" - "GYROSCOPE" - "-0.20867156982421875,0.018099064007401466,-0.05216789245605469"
"2022-05-07 15:09:04.834" - "MAGNETOMETER" - "-12.6875,7.5625,-39.5625"
"2022-05-07 15:09:04.836" - "ACCELEROMETER" - "0.3698333,1.5047998,7.384806"
"2022-05-07 15:09:04.837" - "GYROSCOPE" - "-0.18844319880008698,0.1927018016576767,-0.15543901920318604"
"2022-05-07 15:09:04.855" - "MAGNETOMETER" - "-12.5,7.5,-39.375"
"2022-05-07 15:09:04.856" - "ACCELEROMETER" - "-0.17825885,1.6094551,7.8103695"
"2022-05-07 15:09:04.857" - "GYROSCOPE" - "-0.10007718205451965,0.05536184459924698,-0.08836601674556732"
"2022-05-07 15:09:04.874" - "MAGNETOMETER" - "-12.375,7.3125,-39.3125"
"2022-05-07 15:09:04.877" - "ACCELEROMETER" - "-0.12754008,1.611769,7.6595917"
"2022-05-07 15:09:04.877" - "GYROSCOPE" - "0.0596204474568367,-0.042586032301187515,-0.019163714721798897"
"2022-05-07 15:09:04.878" - "LIGHT" - "26.0"
"2022-05-07 15:09:04.894" - "MAGNETOMETER" - "-12.625,6.9375,-39.125"
"2022-05-07 15:09:04.896" - "ACCELEROMETER" - "-0.044704534,1.4648991,7.7800903"
"2022-05-07 15:09:04.896" - "GYROSCOPE" - "0.18737854063510895,-0.10114183276891708,-0.013840461149811745"
"2022-05-07 15:09:04.915" - "MAGNETOMETER" - "-12.6875,6.5625,-39.125"
"2022-05-07 15:09:04.916" - "ACCELEROMETER" - "0.42070526,1.1945803,7.515978"
"2022-05-07 15:09:04.917" - "GYROSCOPE" - "0.32365384697914124,-0.07665485888719559,-0.05642649531364441"
"2022-05-07 15:09:04.935" - "MAGNETOMETER" - "-12.625,6.3125,-38.9375"
"2022-05-07 15:09:04.954" - "ACCELEROMETER" - "0.6927479,1.3604811,7.1597047"
"2022-05-07 15:09:04.955" - "GYROSCOPE" - "0.3087487518787384,-0.0841074138879776,-0.1756673902273178"
"2022-05-07 15:09:04.955" - "MAGNETOMETER" - "-12.6875,6.25,-39.0"
"2022-05-07 15:09:04.956" - "ACCELEROMETER" - "0.26884013,1.4110851,6.8150244"
"2022-05-07 15:09:04.956" - "GYROSCOPE" - "0.12775810062885284,0.12775810062885284,-0.32152456045150757"
"2022-05-07 15:09:04.974" - "MAGNETOMETER" - "-12.4375,6.125,-38.875"
"2022-05-07 15:09:04.976" - "ACCELEROMETER" - "0.015253939,1.3140911,6.5659356"
"2022-05-07 15:09:04.976" - "GYROSCOPE" - "-0.006387905217707157,0.2874557375907898,-0.455670565366745"
"2022-05-07 15:09:04.994" - "MAGNETOMETER" - "-12.375,6.25,-38.875"
"2022-05-07 15:09:04.997" - "ACCELEROMETER" - "0.19769594,1.3993783,7.321499"
"2022-05-07 15:09:04.997" - "GYROSCOPE" - "0.0031939526088535786,0.2171887755393982,-0.5312607884407043"
"2022-05-07 15:09:04.997" - "LIGHT" - "26.0"
"2022-05-07 15:09:05.014" - "MAGNETOMETER" - "-12.6875,6.3125,-38.9375"
"2022-05-07 15:09:05.018" - "ACCELEROMETER" - "0.018203596,1.6527424,7.994504"
"2022-05-07 15:09:05.019" - "GYROSCOPE" - "0.07771950960159302,0.126693457365036,-0.583428680896759"
"2022-05-07 15:09:05.034" - "MAGNETOMETER" - "-12.75,6.1875,-39.0625"
"2022-05-07 15:09:05.036" - "ACCELEROMETER" - "-0.4067155,1.6812813,7.7995358"
"2022-05-07 15:09:05.036" - "GYROSCOPE" - "0.0351334773004055,0.20121900737285614,-0.5440365672111511"
"2022-05-07 15:09:05.054" - "MAGNETOMETER" - "-12.6875,6.1875,-39.125"
"2022-05-07 15:09:05.056" - "ACCELEROMETER" - "-0.6413626,1.7770877,7.41975"
"2022-05-07 15:09:05.057" - "GYROSCOPE" - "-0.08943066745996475,0.280003160238266,-0.3609166443347931"
"2022-05-07 15:09:05.075" - "MAGNETOMETER" - "-12.5,6.375,-39.25"
"2022-05-07 15:09:05.076" - "ACCELEROMETER" - "-0.38435173,1.6475096,6.7501397"
"2022-05-07 15:09:05.076" - "GYROSCOPE" - "-0.3225892186164856,0.34920546412467957,-0.47164031863212585"
"2022-05-07 15:09:05.094" - "MAGNETOMETER" - "-12.4375,6.6875,-39.375"
"2022-05-07 15:09:05.096" - "ACCELEROMETER" - "-0.8925584,1.7932687,6.3109245"
"2022-05-07 15:09:05.096" - "GYROSCOPE" - "-0.6068509817123413,0.22889992594718933,-0.5301961302757263"
"2022-05-07 15:09:05.114" - "MAGNETOMETER" - "-12.3125,7.0,-39.4375"
"2022-05-07 15:09:05.117" - "ACCELEROMETER" - "-0.8183191,1.8077717,6.8059225"
"2022-05-07 15:09:05.117" - "GYROSCOPE" - "-0.8517206907272339,0.15011577308177948,-0.5844933390617371"
"2022-05-07 15:09:05.117" - "LIGHT" - "27.0"
"2022-05-07 15:09:05.135" - "MAGNETOMETER" - "-12.375,7.5,-39.3125"
"2022-05-07 15:09:05.136" - "ACCELEROMETER" - "-0.47292566,1.3925366,7.808101"
"2022-05-07 15:09:05.138" - "GYROSCOPE" - "-0.8964360356330872,0.10433578491210938,-0.6803118586540222"
"2022-05-07 15:09:05.154" - "MAGNETOMETER" - "-12.4375,8.0625,-39.5"
"2022-05-07 15:09:05.156" - "ACCELEROMETER" - "-0.66963327,1.1391113,8.822568"
"2022-05-07 15:09:05.156" - "GYROSCOPE" - "-0.7527081370353699,0.2938436269760132,-0.7122514247894287"
"2022-05-07 15:09:05.174" - "MAGNETOMETER" - "-12.3125,8.1875,-39.5625"
"2022-05-07 15:09:05.176" - "ACCELEROMETER" - "-1.105493,0.96127397,8.739603"
"2022-05-07 15:09:05.177" - "GYROSCOPE" - "-0.5727821588516235,0.357722669839859,-0.6260147094726562"
"2022-05-07 15:09:05.195" - "MAGNETOMETER" - "-11.9375,8.1875,-39.5625"
"2022-05-07 15:09:05.196" - "ACCELEROMETER" - "-1.4880135,0.8987489,8.550663"
"2022-05-07 15:09:05.196" - "GYROSCOPE" - "-0.2842617630958557,0.39498546719551086,-0.49293333292007446"
"2022-05-07 15:09:05.215" - "MAGNETOMETER" - "-11.9375,8.3125,-39.75"
"2022-05-07 15:09:05.217" - "ACCELEROMETER" - "-1.140521,0.7833139,7.8090205"
"2022-05-07 15:09:05.218" - "GYROSCOPE" - "-0.05110324174165726,0.28639107942581177,-0.4588645100593567"
"2022-05-07 15:09:05.235" - "MAGNETOMETER" - "-11.75,8.25,-39.8125"
"2022-05-07 15:09:05.237" - "ACCELEROMETER" - "-1.1669147,0.9453458,7.6289835"
"2022-05-07 15:09:05.237" - "GYROSCOPE" - "0.0351334773004055,0.2981022298336029,-0.5408426523208618"
"2022-05-07 15:09:05.238" - "LIGHT" - "27.0"
"2022-05-07 15:09:05.254" - "MAGNETOMETER" - "-11.5625,8.0625,-39.75"
"2022-05-07 15:09:05.256" - "ACCELEROMETER" - "-1.7580719,0.9756544,7.27868"
"2022-05-07 15:09:05.256" - "GYROSCOPE" - "0.09901253134012222,0.13095206022262573,-0.47164031863212585"
"2022-05-07 15:09:05.274" - "MAGNETOMETER" - "-11.625,7.875,-39.625"
"2022-05-07 15:09:05.276" - "ACCELEROMETER" - "-1.5860572,0.6900511,7.386162"
"2022-05-07 15:09:05.276" - "GYROSCOPE" - "0.21293017268180847,-0.10646508634090424,-0.3822096586227417"
"2022-05-07 15:09:05.295" - "MAGNETOMETER" - "-11.9375,7.75,-39.8125"
"2022-05-07 15:09:05.296" - "ACCELEROMETER" - "-1.3647716,0.70810914,7.7686753"
"2022-05-07 15:09:05.296" - "GYROSCOPE" - "0.4375714957714081,-0.3162012994289398,-0.3364296555519104"
"2022-05-07 15:09:05.314" - "MAGNETOMETER" - "-12.1875,7.5,-39.9375"
"2022-05-07 15:09:05.316" - "ACCELEROMETER" - "-0.97818273,0.77067244,7.299366"
"2022-05-07 15:09:05.317" - "GYROSCOPE" - "0.38008034229278564,-0.32791244983673096,-0.39498546719551086"
"2022-05-07 15:09:05.334" - "MAGNETOMETER" - "-12.3125,7.5625,-40.125"
"2022-05-07 15:09:05.336" - "ACCELEROMETER" - "-1.3090193,1.1772807,7.734911"
"2022-05-07 15:09:05.337" - "GYROSCOPE" - "0.13201670348644257,-0.0841074138879776,-0.4237310290336609"
"2022-05-07 15:09:05.354" - "MAGNETOMETER" - "-12.25,7.6875,-40.4375"
"2022-05-07 15:09:05.356" - "ACCELEROMETER" - "-1.2033067,0.954233,7.8609576"
"2022-05-07 15:09:05.358" - "GYROSCOPE" - "0.02768092229962349,0.3332357108592987,-0.3790156841278076"
"2022-05-07 15:09:05.358" - "LIGHT" - "28.0"
"2022-05-07 15:09:05.374" - "MAGNETOMETER" - "-11.8125,7.6875,-40.5"
"2022-05-07 15:09:05.376" - "ACCELEROMETER" - "-1.77862,0.6717709,7.718715"
"2022-05-07 15:09:05.376" - "GYROSCOPE" - "-0.2352878302335739,0.6707300543785095,-0.3715631365776062"
"2022-05-07 15:09:05.395" - "MAGNETOMETER" - "-10.75,7.5625,-40.8125"
"2022-05-07 15:09:05.396" - "ACCELEROMETER" - "-0.84783864,0.8444139,9.497725"
"2022-05-07 15:09:05.396" - "GYROSCOPE" - "0.1714087873697281,1.321231722831726,-0.17992599308490753"
"2022-05-07 15:09:05.415" - "MAGNETOMETER" - "-10.9375,7.0625,-40.875"
"2022-05-07 15:09:05.417" - "ACCELEROMETER" - "-0.8956536,1.8535489,4.488879"
"2022-05-07 15:09:05.417" - "GYROSCOPE" - "0.3513347804546356,-0.6536956429481506,-0.4407654404640198"
"2022-05-07 15:09:05.434" - "MAGNETOMETER" - "-11.4375,7.0,-40.9375"
"2022-05-07 15:09:05.436" - "ACCELEROMETER" - "-1.7550609,0.83515894,7.8517175"
"2022-05-07 15:09:05.436" - "GYROSCOPE" - "0.1543743759393692,-0.46418777108192444,-0.44395941495895386"
"2022-05-07 15:09:05.455" - "MAGNETOMETER" - "-11.375,7.0625,-41.0625"
"2022-05-07 15:09:05.456" - "ACCELEROMETER" - "-0.6827574,1.1810732,7.5216393"
"2022-05-07 15:09:05.457" - "GYROSCOPE" - "-0.19802506268024445,0.24380503594875336,-0.40882593393325806"
