;UT;precision;pressure;duration;acceleration;rotation;magneticField
0;UT3;18.74019104758539;0.10588236;55000;7.472947321501742;0.1680867535120083;32.987095014565924
1;UT3;57.81150833981854;0.20784315;71000;7.616983602795033;0.16593873853581081;32.936551219731555
2;UT3;92.04043895114793;0.20392159;80000;7.174403971241288;0.2943851078251003;32.832434420858895
3;UT3;18.045174781641713;0.1764706;72000;7.6865946685966975;0.108076484193992;33.13832279250113
4;UT3;26.76181838091166;0.16862746;83000;7.378236716344913;0.30615701902345455;33.18573441631208
5;UT3;55.24156272165008;0.16862746;103000;8.006615109720103;0.29250397468983724;32.666221563719304
6;UT3;74.56235051493819;0.08627451;88000;7.959264672846964;0.14410984146988148;32.59205712286354
7;UT3;76.80794720329985;0.12941177;71000;7.625781535253336;0.1782105960537577;32.31473638295692
8;UT3;87.34071800110245;0.1764706;78000;7.737696530739635;0.31729094817866155;32.256297834686485
9;UT3;93.83031597086568;0.078431375;63000;7.771442889481258;0.11250090756143846;32.75316062993005
10;UT3;73.46707951742738;0.10980393;93000;7.753431646408504;0.14404691101949568;32.97880474638218
11;UT3;80.77354911337005;0.14901961;78000;7.813765228594678;0.24521662076469458;32.25514736053767
12;UT3;63.8618353185719;0.14509805;71000;7.719302598480008;0.05075828082060605;32.333346756870064
13;UT3;83.72047913921655;0.09411766;105000;7.972932099856694;0.16867577570700423;32.49939903290521
14;UT3;50.75605481486921;0.16470589;70000;7.643936460196474;0.05558660319106486;32.50414637011715
15;UT3;43.3739995620648;0.11764707;49000;7.887684148759262;0.18570147675582294;49.48899025288352
16;UT3;65.07288717530524;0.21960786;79000;6.763811388456356;0.1725785564488497;48.59647299444683
17;UT3;65.69588762339382;0.16078432;66000;7.7465567709235;0.33253427525942153;49.45306328985091
18;UT3;55.294905294158966;0.19607845;63000;7.21597456334783;0.41583441411173505;48.96000440410519
19;UT3;39.93146298659744;0.19215688;46000;7.669450549554034;0.17105463902616536;49.271132839117875
20;UT3;41.64455483209775;0.14901961;71000;7.297799608215292;0.026701306749807308;48.8299424661754
21;UT3;65.65065984091554;0.13333334;38000;8.102447579923663;0.15054177814792963;48.53397650100391
22;UT3;57.79557664060466;0.058823533;71000;7.923306465493516;0.0417527776463271;49.22060512376905
23;UT3;67.46768853182684;0.22352943;61000;7.8419136071789834;0.7107666641726574;48.44693456504756
24;UT3;67.56598557416963;0.121568635;53000;8.094145269970884;0.07761005369452918;49.02574260018914
25;UT3;106.78134166042308;0.24705884;57000;7.903057316361897;0.48388701531758066;48.727959761311574
26;UT3;100.33737292041286;0.08627451;81000;7.577320781404055;0.25167679440392593;49.312856462589956
27;UT3;85.85897696950506;0.21568629;76000;6.545285459193363;0.710607183885228;48.2059384308614
28;UT3;69.10767308975184;0.09019608;77000;8.104030137009394;0.08927844598406111;49.90984058780393
29;UT3;98.47123714285762;0.16862746;51000;7.583799366138101;0.37656897640566694;48.772630965019715
30;UT3;66.50767293034686;0.14901961;48000;7.69725044804225;0.2354636116069957;44.878046553966676
