;UT;x;y;duration;acceleration;rotation;magneticField
0;sensor_c30zVB50S02kI-ECEJaADq;788.0;1442.0;66000.0;7.787414896349637;0.1891210704186643;53.59594637073793
1;sensor_c30zVB50S02kI-ECEJaADq;652.0;1257.0;305000.0;7.787414896349637;0.1891210704186643;53.59594637073793
2;sensor_c30zVB50S02kI-ECEJaADq;670.0;1141.0;368000.0;7.787414896349637;0.1891210704186643;53.59594637073793
3;sensor_c30zVB50S02kI-ECEJaADq;670.0;1125.0;71000.0;7.787414896349637;0.1891210704186643;53.59594637073793
4;sensor_c30zVB50S02kI-ECEJaADq;723.0;1485.0;164000.0;7.787414896349637;0.1891210704186643;53.59594637073793
5;sensor_c30zVB50S02kI-ECEJaADq;599.0;1533.0;92000.0;7.787414896349637;0.1891210704186643;53.59594637073793
6;sensor_c30zVB50S02kI-ECEJaADq;606.0;1088.0;61000.0;7.787414896349637;0.1891210704186643;53.59594637073793
7;sensor_c30zVB50S02kI-ECEJaADq;780.0;1140.0;106000.0;7.787414896349637;0.1891210704186643;53.59594637073793
8;sensor_c30zVB50S02kI-ECEJaADq;607.0;572.0;75000.0;7.787414896349637;0.1891210704186643;53.59594637073793
9;sensor_c30zVB50S02kI-ECEJaADq;594.0;1514.0;84000.0;7.787414896349637;0.1891210704186643;53.59594637073793
10;sensor_c30zVB50S02kI-ECEJaADq;734.0;1489.0;76000.0;7.787414896349637;0.1891210704186643;53.59594637073793
11;sensor_c30zVB50S02kI-ECEJaADq;579.0;1089.0;89000.0;7.787414896349637;0.1891210704186643;53.59594637073793
12;sensor_c30zVB50S02kI-ECEJaADq;596.0;1208.0;67000.0;7.787414896349637;0.1891210704186643;53.59594637073793
13;sensor_c30zVB50S02kI-ECEJaADq;677.0;1530.0;459000.0;7.787414896349637;0.1891210704186643;53.59594637073793
14;sensor_c30zVB50S02kI-ECEJaADq;555.0;1256.0;34000.0;7.787414896349637;0.1891210704186643;53.59594637073793
15;sensor_c30zVB50S02kI-ECEJaADq;549.0;561.0;90000.0;7.787414896349637;0.1891210704186643;53.59594637073793
16;sensor_c30zVB50S02kI-ECEJaADq;672.0;1519.0;302000.0;7.716971416420326;0.23522117631285164;51.95243358311043
17;sensor_c30zVB50S02kI-ECEJaADq;568.0;604.0;103000.0;7.785556028781206;0.6318074979539758;53.77957943367073
18;sensor_c30zVB50S02kI-ECEJaADq;576.0;1047.0;80000.0;7.625919179505887;0.16879037753090392;51.06361726133882
19;sensor_c30zVB50S02kI-ECEJaADq;632.0;1570.0;467000.0;7.752715190454841;0.021307129578028675;50.35798277135422
20;sensor_c30zVB50S02kI-ECEJaADq;707.0;1501.0;67000.0;7.7641504425126096;0.004241018963239794;51.23785641190994
21;sensor_c30zVB50S02kI-ECEJaADq;834.0;1491.0;67000.0;7.7092660998516545;0.0048616592639399775;50.765878692163945
22;sensor_c30zVB50S02kI-ECEJaADq;583.0;1159.0;33000.0;7.870054171385634;0.022073857899796503;51.82427707093471
23;sensor_c30zVB50S02kI-ECEJaADq;792.0;1492.0;49000.0;7.987720561920717;0.015571738419374582;50.97510083842413
24;sensor_c30zVB50S02kI-ECEJaADq;110.0;100.0;219000.0;7.5075305352552215;0.30885327319334965;51.81321546550648
25;sensor_c30zVB50S02kI-ECEJaADq;109.0;209.0;56000.0;7.86738229050445;0.05766938843390409;53.716768958480316
26;sensor_c30zVB50S02kI-ECEJaADq;881.0;1301.0;72000.0;7.9195360937476735;0.00293051551074801;54.48379961275187
27;sensor_c30zVB50S02kI-ECEJaADq;127.0;1031.0;51000.0;7.80262615893941;0.054290768305990444;56.20871274700221
28;sensor_c30zVB50S02kI-ECEJaADq;956.0;919.0;38000.0;8.258706209213688;0.41704118883745456;50.66559955544298
29;sensor_c30zVB50S02kI-ECEJaADq;943.0;777.0;52000.0;7.782872479994766;0.03909094484707762;52.57632184543727
30;sensor_c30zVB50S02kI-ECEJaADq;933.0;1168.0;43000.0;7.719950661686121;0.08646631398653848;50.92218678304675
31;sensor_c30zVB50S02kI-ECEJaADq;924.0;1144.0;53000.0;7.69178270675624;0.013141204380374982;52.63242922120367
32;sensor_c30zVB50S02kI-ECEJaADq;890.0;1211.0;79000.0;7.673200615314052;0.02524114323964699;51.155654265559974
33;sensor_c30zVB50S02kI-ECEJaADq;985.0;1116.0;139000.0;7.701508858529085;0.039533046839243;52.570444939267055
34;sensor_c30zVB50S02kI-ECEJaADq;930.0;1031.0;93000.0;7.097817538646269;0.13261783567698313;50.91062151163805
35;sensor_c30zVB50S02kI-ECEJaADq;670.0;1622.0;55000.0;7.5881340452771875;0.02295330175143872;51.10498269268863
36;sensor_c30zVB50S02kI-ECEJaADq;713.0;1402.0;48000.0;7.896996101827374;0.06129881583894614;50.70866351264594
37;sensor_c30zVB50S02kI-ECEJaADq;671.0;2007.0;43000.0;7.895789606980313;0.5490765272085975;52.2626879780164
38;sensor_c30zVB50S02kI-ECEJaADq;898.0;1186.0;47000.0;7.61368674162819;0.08506904772982868;51.277445019971985
39;sensor_c30zVB50S02kI-ECEJaADq;959.0;1088.0;80000.0;7.677248633806201;0.0779086947166193;52.24251030351145
40;sensor_c30zVB50S02kI-ECEJaADq;660.0;659.0;102000.0;7.898300321317473;0.019731318453588925;43.06759693667623
41;sensor_c30zVB50S02kI-ECEJaADq;786.0;588.0;37000.0;7.8962281516791215;0.006101787672486182;43.01927420413911
42;sensor_c30zVB50S02kI-ECEJaADq;22.0;1263.0;61000.0;7.895222858670303;0.0068779679869346985;49.919250844100716
43;sensor_c30zVB50S02kI-ECEJaADq;15.0;1110.0;86000.0;7.890535517869019;0.0030216108443157693;44.47056128828373
44;sensor_c30zVB50S02kI-ECEJaADq;0.0;1126.0;79000.0;7.8714368892905116;0.008675724304710397;46.00593926453962
45;sensor_c30zVB50S02kI-ECEJaADq;995.0;1052.0;134000.0;7.889238551631132;0.0032223639795755307;38.486612352381734
46;sensor_c30zVB50S02kI-ECEJaADq;994.0;1055.0;61000.0;7.918313441917419;0.01422537402149993;39.87343038666226
47;sensor_c30zVB50S02kI-ECEJaADq;800.0;1628.0;37000.0;7.8908656689957475;0.0072038064533331515;40.86583681099049
48;sensor_c30zVB50S02kI-ECEJaADq;864.0;1387.0;36000.0;7.973851772894536;0.00198672145747705;40.358462410332976
49;sensor_c30zVB50S02kI-ECEJaADq;817.0;2067.0;44000.0;7.951854033843104;0.016306053473645957;39.89868998225391
50;sensor_c30zVB50S02kI-ECEJaADq;862.0;2022.0;32000.0;7.9594177272832525;0.007824524539679013;39.53379330980654
51;sensor_c30zVB50S02kI-ECEJaADq;113.0;1307.0;94000.0;7.885382751253686;0.05936901464824125;47.47958361372285
52;sensor_c30zVB50S02kI-ECEJaADq;840.0;631.0;25000.0;7.977008943582775;0.03066828088123402;47.11876417150612
53;sensor_c30zVB50S02kI-ECEJaADq;822.0;793.0;253000.0;7.927311439900393;0.003964629224779278;46.221252471522774
54;sensor_c30zVB50S02kI-ECEJaADq;445.0;2087.0;56000.0;7.883140574585391;0.014617321231347865;47.49245092803697
55;sensor_c30zVB50S02kI-ECEJaADq;857.0;1616.0;46000.0;8.087696903796502;0.06101329184438348;45.95157568672156
56;sensor_c30zVB50S02kI-ECEJaADq;843.0;1211.0;2000.0;7.867890370008793;0.0012406366477494318;46.83767265340476
57;sensor_c30zVB50S02kI-ECEJaADq;827.0;2001.0;61000.0;7.94684815715369;0.04606381597220932;46.053643456435715
58;sensor_c30zVB50S02kI-ECEJaADq;962.0;1226.0;96000.0;7.860310922184402;0.004011411166681453;46.031807532855744
59;sensor_c30zVB50S02kI-ECEJaADq;700.0;114.0;266000.0;7.875584137345346;0.0009597788892859058;47.09293089864975
60;sensor_c30zVB50S02kI-ECEJaADq;649.0;436.0;51000.0;7.929095165227624;0.01588166142400864;46.311050078546316
61;sensor_c30zVB50S02kI-ECEJaADq;585.0;257.0;71000.0;7.875694641658567;0.02261140732240994;46.2472351369517
62;sensor_c30zVB50S02kI-ECEJaADq;732.0;405.0;45000.0;7.9119248978713275;0.0019346845531155634;46.20501443990144
63;sensor_c30zVB50S02kI-ECEJaADq;681.0;501.0;73000.0;7.892884906075372;0.007924109986203376;47.45721304845818
64;sensor_c30zVB50S02kI-ECEJaADq;706.0;1046.0;50000.0;7.929152990717194;0.0019346845531155634;46.83228602873245
65;sensor_c30zVB50S02kI-ECEJaADq;832.0;969.0;28000.0;7.91381548002406;0.003816267980787055;46.277465282629734
66;sensor_c30zVB50S02kI-ECEJaADq;309.0;136.0;69000.0;7.871716260218909;0.003864846120185303;46.04693851864096
67;sensor_c30zVB50S02kI-ECEJaADq;710.0;959.0;73000.0;7.896580518674155;0.0008152580170488217;46.52673000993622
68;sensor_c30zVB50S02kI-ECEJaADq;696.0;934.0;69000.0;7.885122278922284;0.0006203183238747017;46.88071013164699
69;sensor_c30zVB50S02kI-ECEJaADq;655.0;1621.0;30000.0;7.8812589083940745;0.003907602686630759;46.16511892571066
70;sensor_c30zVB50S02kI-ECEJaADq;815.0;1412.0;35000.0;7.873714661860645;0.0029720009608848233;47.45721304845818
71;sensor_c30zVB50S02kI-ECEJaADq;759.0;2005.0;44000.0;7.898958485011037;0.018441334438068877;45.24750209257422
72;sensor_c30zVB50S02kI-ECEJaADq;906.0;1321.0;313000.0;7.871850966812654;0.0034104689464462224;47.75005780986038
73;sensor_c30zVB50S02kI-ECEJaADq;633.0;1318.0;52000.0;7.839392750778357;0.00201874392342236;46.845262560903684
74;sensor_c30zVB50S02kI-ECEJaADq;881.0;685.0;217000.0;7.90634807463035;0.0030032244605762166;45.614033356660094
75;sensor_c30zVB50S02kI-ECEJaADq;155.0;998.0;56000.0;7.906070970453369;0.03861246688197274;46.50666611968121
76;sensor_c30zVB50S02kI-ECEJaADq;651.0;1298.0;50000.0;7.933025534106196;0.005409426626333956;47.463342777821715
77;sensor_c30zVB50S02kI-ECEJaADq;730.0;941.0;51000.0;7.91392579772019;0.003424117550112569;48.11898095476462
78;sensor_c30zVB50S02kI-ECEJaADq;688.2027;986.7245;45000.0;7.860366281893823;0.005061999426823251;46.6463279725211
79;sensor_c30zVB50S02kI-ECEJaADq;683.0;1253.0;51000.0;7.808777225361778;0.0067171502104888675;46.3090421280445
80;sensor_c30zVB50S02kI-ECEJaADq;884.0;1253.0;44000.0;7.82974900309772;0.012192821394962602;46.81971114351839
81;sensor_c30zVB50S02kI-ECEJaADq;850.0;1264.0;33000.0;7.864237602375196;0.007296285476073086;47.60546550712433
82;sensor_c30zVB50S02kI-ECEJaADq;762.0;1262.0;42000.0;7.858417878631624;0.010727665620900745;46.296869330225825
83;sensor_c30zVB50S02kI-ECEJaADq;771.0;1245.0;30000.0;7.822391134276251;0.004047583390934449;46.76621752469404
84;sensor_c30zVB50S02kI-ECEJaADq;825.0;1277.0;26000.0;7.946686190148926;0.004216892805969185;47.89357097387002
85;sensor_c30zVB50S02kI-ECEJaADq;808.0;1237.0;53000.0;7.89506551813123;0.009411930127077391;48.4843023887629
86;sensor_c30zVB50S02kI-ECEJaADq;925.0;1256.0;31000.0;7.985421031228891;0.01810939309764623;46.4449489744311
87;sensor_c30zVB50S02kI-ECEJaADq;852.0;1276.0;37000.0;7.841416680076608;0.0015759681975698462;48.30772146083386
88;sensor_c30zVB50S02kI-ECEJaADq;811.0;1259.0;3000.0;7.915846244040937;0.0007597317062710991;49.093353954990775
89;sensor_c30zVB50S02kI-ECEJaADq;790.0;1292.0;65000.0;7.933467920923523;0.005653431924628155;49.022388856649
90;sensor_c30zVB50S02kI-ECEJaADq;821.0;1605.0;53000.0;7.856738584387056;0.018991911183922655;50.63897575634063
91;sensor_c30zVB50S02kI-ECEJaADq;673.0;1958.0;90000.0;7.910672780976789;0.036280708309446796;48.11898095476462
92;sensor_c30zVB50S02kI-ECEJaADq;750.0;1216.0;52000.0;7.921718388936595;0.008754663272739572;49.4548693416988
93;sensor_c30zVB50S02kI-ECEJaADq;707.0;2031.0;446000.0;7.906671167236166;0.037732644409265576;48.360263016929764
94;sensor_c30zVB50S02kI-ECEJaADq;916.0;1027.0;61000.0;7.8489701960936005;0.0024085418004988705;49.23823901318974
95;sensor_c30zVB50S02kI-ECEJaADq;736.0;2045.0;59000.0;7.910559754660261;0.023508940344352088;47.79734619196979
96;sensor_c30zVB50S02kI-ECEJaADq;802.0;1030.0;25000.0;7.9105347402733175;0.0015759681623176256;48.230164753450715
97;sensor_c30zVB50S02kI-ECEJaADq;648.0;2010.0;56000.0;7.830121587027931;0.011257771748448721;46.71493547111031
98;sensor_c30zVB50S02kI-ECEJaADq;790.0;1008.0;23000.0;7.90085764079851;0.001150417730759105;49.07418411893111
99;sensor_c30zVB50S02kI-ECEJaADq;629.0;2034.0;58000.0;7.8414704206065196;0.007190034847616008;47.768737367707345
100;sensor_c30zVB50S02kI-ECEJaADq;715.0;1399.0;49000.0;7.908401143923144;0.0018117440620432;48.156419495743286
101;sensor_c30zVB50S02kI-ECEJaADq;585.0;1992.0;69000.0;7.84701892970849;0.004449001107675076;49.19846728127057
102;sensor_c30zVB50S02kI-ECEJaADq;907.0;955.0;91000.0;7.879851223581117;0.008230515291772138;50.5701682398823
103;sensor_c30zVB50S02kI-ECEJaADq;710.0;1986.0;40000.0;7.930040424478381;0.0006250000629088977;48.93671993746116
104;sensor_c30zVB50S02kI-ECEJaADq;684.0;1397.0;35000.0;7.872072020204906;0.0015925287476753248;47.712546264596384
105;sensor_c30zVB50S02kI-ECEJaADq;669.0;2001.0;55000.0;7.899043959583108;0.018538453547992592;48.57311539387427
106;sensor_c30zVB50S02kI-ECEJaADq;779.0;1634.0;847000.0;7.889223323607711;0.0023096873568615884;47.79778082257063
107;sensor_c30zVB50S02kI-ECEJaADq;645.0;2176.0;566000.0;7.891276959504391;0.010585418545354948;47.82220857313576
108;sensor_c30zVB50S02kI-ECEJaADq;961.0;1736.0;406000.0;7.91622409152148;0.015770591381263386;48.3645955418062
109;sensor_c30zVB50S02kI-ECEJaADq;903.0;941.0;26000.0;7.893282480259402;0.0032921705513721576;48.636553136696996
110;sensor_c30zVB50S02kI-ECEJaADq;800.0;2129.0;41000.0;7.9672050611832805;0.03470583942597893;49.02142948007534
111;sensor_c30zVB50S02kI-ECEJaADq;874.0;1760.0;45000.0;7.872035129870922;0.009518185888575413;47.622131351203286
