;UT;centerDistanceXf0;avgXSpeedf0;avgYSpeedf0;avgPressuref0;xMedianSpeedOfLast5Pointsf0;yMedianSpeedOfLast5Pointsf0;durationf0;avgAccelerationf0;avgRotationf0;avgMagneticFieldf0;centerDistanceXf1;avgXSpeedf1;avgYSpeedf1;avgPressuref1;xMedianSpeedOfLast5Pointsf1;yMedianSpeedOfLast5Pointsf1;durationf1;avgAccelerationf1;avgRotationf1;avgMagneticFieldf1
15;UT3;465.9720207040109;0.03935297673168456;0.04146403507485907;0.19554070216722408;-0.003879068217;0.08623578771399999;377000;7.693385522054013;0.06647020850198268;28.14023517111772;586.0832380086999;0.05199389837335299;0.0466046767708866;0.1921165279238683;-0.003879068217;0.08623578771399999;330000;7.700699936379612;0.06571016532730385;28.152412502415597
16;UT3;412.62858459298786;0.02319330313082691;0.020363108297711544;0.20866481400000003;-0.10495880685999999;-0.104703994;876000;7.810476948285675;0.18826180085404942;40.60388696726711;426.2923643667688;0.0234184808311262;0.02056080837827186;0.20920061817307695;-0.10495880685999999;-0.104703994;850000;7.815820196765166;0.17848749239922226;40.606085901699004
17;UT3;493.93776896256236;0.024325523746439322;0.036247924444778236;0.19906863983333334;0.141027195;0.028424310200000004;161000;7.789897272273467;0.13292874290821266;40.52500652894404;506.5595833212319;0.02340316259331489;0.037210948775625544;0.20083085334745762;0.08306941999999999;0.057615675;125000;7.795055601850134;0.12407469584680939;40.51822809078451
18;UT3;523.4921511665246;0.02917070507151624;0.025334131748857548;0.19210117064204546;0.3034681318;-0.011926144400000002;973000;7.77929717944787;0.11018507330534852;40.505359514736234;495.32682554863675;0.028695978681542597;0.02591980217628696;0.19360762856647395;0.38128905799999996;-0.038841523;941000;7.785334598719637;0.10247173061245761;40.499852248401076
19;UT3;537.8864714518423;0.028017582692357455;0.022110872825188768;0.18676691601569506;0.016231352594719996;0.0036527963999999995;803000;7.775657059799879;0.10926649523185498;40.53471634913171;465.41658700364445;0.027755528328533337;0.022630182869974834;0.1882263528105023;0.016231352594719996;0.0036527963999999995;779000;7.7822568048296885;0.1012200312486025;40.530755380434584
20;UT3;408.045795898259;0.01449302815605797;0.04971326120553623;0.22488363431654673;-0.0026929713199999998;0.0488338455876;190000;7.743826652041212;0.06943452285572747;42.17985612187548;588.068009624142;0.014815551795044441;0.05082069200842222;0.22427913522058823;-0.0026929713199999998;0.0488338455876;120000;7.7530024887965725;0.06833531943206454;42.17476790377837
21;UT3;327.20055116349437;0.020064223803345986;0.025523803548286914;0.21235789607563024;0.013270366579999998;0.034182558078;859000;7.753064572767509;0.06176741368621718;42.07346615468892;481.91131981278465;0.020408938404240344;0.02596353998161802;0.2119825825897436;0.013270366579999998;0.034182558078;830000;7.759160151303847;0.05903740525793298;42.07279589435749
22;UT3;518.3787580787816;0.009094382013656675;0.031177775833550407;0.20452899666304347;0.0493465989012;0.0821681094;110000;7.742280858824438;0.05863294146274104;42.09360510915722;342.94164989017537;0.00924570583326039;0.03169697259192798;0.20457156356906078;0.0493465989012;0.0821681094;67000;7.7499177317395995;0.056129042841614914;42.09819002274103
23;UT3;552.0104953059868;0.0052298642645628;0.03194934674661693;0.20363752284507042;0.023712328304000004;0.025907173358000003;84000;7.742705302441102;0.06284408219397386;42.061210345897855;373.38650424953767;0.005304855382450205;0.032407442456226995;0.20380153215102043;0.023712328304000004;0.025907173358000003;57000;7.749315182648877;0.06065643650923715;42.066339535022706
24;UT1;221.8525482005641;0.12811963846058333;0.13872263965473072;0.12340531948101269;-0.21919876;-0.035311391001;687000;7.834871187856834;0.1928891155848192;39.880990360296124;452.81646987859165;0.14724529789735336;0.14594959117353332;0.12585140136842105;-0.066841262;-0.0085210381102;638000;7.854492682060638;0.17120020821615986;39.891571678837074
25;UT1;380.47735135864536;0.1517810053465464;0.10929301999092143;0.11558893874468086;-0.2961522002;-0.12823901958;536000;7.816405424255738;0.1740691639681334;39.9472106029617;505.46510132630317;0.1640536709082143;0.12165348382898496;0.11817384502985073;-0.10912926279999999;-0.03361988910000001;482000;7.83228594771298;0.15461248071707387;39.96826071191451
26;UT1;322.59968152648025;0.15312771280224885;0.09227396319732559;0.11445171452314813;-0.24296016875999998;-0.048348086725999995;622000;7.797697275313389;0.1749137529621103;39.94336222304248;450.64191229753544;0.1617983368828961;0.10008595477271016;0.116006795375;-0.24296016875999998;-0.048348086725999995;601000;7.808949512557904;0.16075327997122374;39.95654054940649
27;UT1;478.7866549241009;0.13364445808182823;0.09605165844257141;0.11989365965084749;-0.2718601915188;-0.0006406844059999993;670000;7.786024179131568;0.16743772603263424;39.919977306887375;211.77663280377507;0.13986409880117018;0.10216869520225262;0.12123955212587413;-0.2718601915188;-0.0006406844059999993;647000;7.791925748354832;0.1552842730606996;39.9260581042465
28;UT1;317.999536083215;0.00032700380575735306;0.016487972144338028;0.14496092798601398;0.006901386662000001;0.007249462127999999;236000;7.702044390672131;0.05404162437829888;46.32003431312214;391.79525756140794;0.0027864061420258693;0.022397025110846715;0.14685991001449275;0.0227742699134;0.016012282901999998;159000;7.71631332100456;0.04205871205710252;46.332475384440656
29;UT1;445.0590198618107;0.029352316524920697;0.015850205382307702;0.1334167778638298;-0.0017058896526;0.0117581454782;756000;7.710330509143191;0.05338826824930769;46.42406623151485;437.0003307018658;0.03201776228019975;0.019715025313333336;0.1348082666061947;-0.0034112913869999996;0.015073237871000001;700000;7.721258922751934;0.041116312282414816;46.43651690094899
30;UT1;372.941449738936;0.033887736814651244;0.01964671270290001;0.12918979636163522;-0.07411413959999999;-0.028257118600000002;692000;7.7044512320421985;0.05147167551824175;46.40449249667719;442.8317403087132;0.03608458311549819;0.022654529520714343;0.13015024924675325;-0.07411413959999999;-0.028257118600000002;666000;7.7150176687170005;0.04237136180328494;46.41455162513878
31;UT1;407.2682811970281;0.04408760879710621;0.018557382261086205;0.12505644083069978;0.057403558428000004;-0.0045207002;61000;7.703917426079218;0.04915295257104798;46.33215000152476;515.601898316727;0.045991363189175044;0.020717623191276336;0.1256989907939815;0.057403558428000004;-0.0045207002;34000;7.711164327684483;0.04209018045624859;46.33802442716637
