;UT;precision;avgXSpeed;avgYSpeed;avgPressure;xMedianSpeedOfLast5Points;yMedianSpeedOfLast5Points;duration;avgAcceleration;avgRotation;avgMagneticField
0;UT3;182.01248000000004;0.6896382734224158;0.3032329708686522;0.1850980501;0.0544358528;-0.025821762156;171000;7.833349917047203;0.0879289749678521;32.919806267735304
1;UT3;124.25231568627453;0.9313624785479598;0.21950811634746;0.18292965441176468;-0.0036581366270000007;0.00032519827739999947;854000;7.839804485875465;0.04261744708544851;32.708203905065545
2;UT3;123.84861999999997;0.9476388148510556;0.24996257375085182;0.19600714287272733;-0.0330644196252;-0.010925922840000001;909000;7.849505687075531;0.0446852422885772;32.72951742237053
3;UT3;138.1653109090909;0.9309071428826665;0.23762107094444443;0.1629946578181818;-0.0682146399548;-5.74418446e-05;905000;7.838142659587667;0.0370606478021405;32.68395783985129
4;UT3;178.2953907894737;0.645974658433836;0.28932658576276005;0.24576884611842106;0.0445568372;0.020089916399999998;269000;7.710536728726981;0.3270292657104428;50.746007974844076
5;UT3;139.75844750000002;0.6233239856664634;0.1845326981949367;0.24671569981249997;0.1529635248;0.09888196099999999;327000;7.671648881775172;0.3693138875720499;50.430047462130645
6;UT3;152.58278536585368;0.6180069290547366;0.25282830984344445;0.2514108226585366;0.181950506;0.09133620199999999;361000;7.6551597088164165;0.3120623080847973;49.9220426484708
7;UT3;145.34297972972973;0.6643007522711712;0.2663682315362261;0.2422363685405405;0.0635961414;0.01840917088;213000;7.632264980842316;0.3310927076739733;50.00700301618497
8;UT3;235.38649390243907;0.2983530438560736;0.1711925829567178;0.2450502281097561;0.07324731332;0.025310075999999997;741000;7.678418318396006;0.2590733932541325;45.81673427871397
9;UT3;226.504021969697;0.3519375909254115;0.1907217115670229;0.2252228311893939;0.02971349372;0.013770352320000002;220000;7.651175984188937;0.26517425146540746;45.290114562747846
10;UT3;188.5255435114504;0.36807177558522763;0.15916843168406924;0.22760067335877865;0.0170058451;0.0238805039608;179000;7.6410332578764075;0.27001846884618497;45.58440351493265
11;UT3;182.76722352941175;0.4096980032631949;0.13815486042933897;0.21555447310924367;0.06893474454000001;0.0369070304;987000;7.659847943261977;0.24566210053665075;45.51360345132418
12;UT3;198.6957789473684;0.6430678643155334;0.23730723931733333;0.1892156978947368;-0.013609409940000003;0.029304595;262000;7.69839058175192;0.06946334879046609;27.9018245942822
13;UT3;140.50916067415727;0.5632693591473361;0.22682529540354548;0.18409342370786516;-0.0019141459999999985;0.00345714224;490000;7.682219098799085;0.1146175901612852;28.946488940610983
14;UT3;203.86260121951224;0.5906818928592519;0.25158211487276544;0.18201818385365853;-0.004155110240000001;0.01405637428;366000;7.704117181942845;0.08483701660650331;28.423617732110237
15;UT3;143.02299333333335;0.6388104651849595;0.22315578844435133;0.18081046850666666;0.0710671016;0.10677599499999998;253000;7.71271094683086;0.11416962293636423;28.298587102939383
16;UT3;205.40332777777783;0.7065319332010281;0.34532818407373234;0.2173747430555555;-0.028373037038;0.00011478564200000002;198000;7.788068935354618;0.2843688808703509;40.409993542420096
17;UT3;123.59848281250002;0.7514902293329745;0.2490716538846032;0.178860304953125;0.008335298199999999;0.0276302241;53000;7.764261313646211;0.16378385312907048;40.254723575672855
18;UT3;151.84452957746484;0.7531329212005735;0.2325285335975429;0.15537145450704226;-0.020218725115;5.1316421e-05;194000;7.772575877400643;0.12150313165053075;40.37770939690135
19;UT3;248.7400265625;0.7829297019105874;0.3683006639357777;0.19963236765624998;-5.200325200000002e-06;-0.0030989765452;45000;7.79534189198932;0.3427954014338565;40.142383756028195
20;UT3;9.731553086419746;0.6013416302323475;0.023783788165487495;0.2775599260493827;0.06857084620000001;0.03480336014;336000;7.707284221548534;0.2850153129636782;43.12643320642154
21;UT3;76.26615938775511;0.5100775426440484;-0.1007953898432371;0.18883554793877552;0.0287818454032;-0.0032249575816;642000;7.731701211189473;0.0772381020729024;42.12229639142134
22;UT3;74.08686636363633;0.4841002950917836;-0.0739894459462398;0.17896613989898993;-0.006657620118200001;-5.5756192000000005e-05;642000;7.722235972850982;0.10338748397257481;41.84705519055407
23;UT3;75.58383273504273;0.42714404984228005;-0.060819088615663805;0.17456008880341878;-0.15508029635540002;0.004760451599999997;948000;7.738113984164885;0.06458760087453136;41.935536741409955
24;UT1;101.6939660377358;0.9705571872508846;0.25466929975186536;0.17151314313207547;0.0584629424716;0.0295651823664;883000;7.738710065320719;0.653354498300265;39.762840839567424
25;UT1;95.01772051282052;1.364680028455026;0.2473213681792894;0.1410759235897436;0.13372866600000002;0.175522508;625000;7.867019493798075;0.9194154116653683;39.78271119993613
26;UT1;81.74812222222222;1.1141800094386092;0.17802263718295455;0.1525925998444444;-0.026272885405999997;0.00685240434;726000;7.756451617967433;0.40486358940283834;39.567475442397
27;UT1;95.63387777777777;1.4258813242510857;0.29234431951500006;0.1322440150833333;0.044092278400000004;0.024818732925000003;589000;7.81670522557533;0.4401731080852339;39.73839345449285
28;UT1;37.35861086956521;0.5405402490278397;0.051979984934;0.14629156554347827;0.04024641274;0.0225476956;519000;7.688779236782847;0.16030762247348526;45.04793366897928
29;UT1;60.7597550724638;0.7292320460447574;0.11079345824558823;0.156237573057971;0.03398008861;0.0365917748;148000;7.678536879290004;0.3399285323498521;45.335323616377146
